id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jumlah_kendaraan,satuan,tahun
155,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,476534,UNIT,2017
156,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),830837,UNIT,2017
157,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),411246,UNIT,2017
158,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,61827,UNIT,2017
159,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,299814,UNIT,2017
160,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,78394,UNIT,2017
161,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),436412,UNIT,2017
162,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),427364,UNIT,2017
163,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),358296,UNIT,2017
164,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,126363,UNIT,2017
165,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,981308,UNIT,2017
166,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,482343,UNIT,2017
167,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),237971,UNIT,2017
168,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,222224,UNIT,2017
169,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,169733,UNIT,2017
170,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,49302,UNIT,2017
171,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),93088,UNIT,2018
172,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),20612,UNIT,2018
173,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),8896,UNIT,2018
174,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,27475,UNIT,2018
175,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),31774,UNIT,2018
176,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),35871,UNIT,2018
177,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,24093,UNIT,2018
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,17653,UNIT,2018
179,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,17199,UNIT,2018
180,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,22668,UNIT,2018
181,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),29263,UNIT,2018
182,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),15076,UNIT,2018
183,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,22629,UNIT,2018
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,19838,UNIT,2018
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,22122,UNIT,2018
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),8805,UNIT,2018
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,25864,UNIT,2018
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,18075,UNIT,2018
189,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,49524,UNIT,2018
190,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI (CIKARANG),87659,UNIT,2018
191,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),37600,UNIT,2018
192,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,4844,UNIT,2018
193,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,31577,UNIT,2018
194,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,7919,UNIT,2018
195,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),36662,UNIT,2018
196,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),37603,UNIT,2018
197,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),31558,UNIT,2018
198,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,11861,UNIT,2018
199,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,97611,UNIT,2018
200,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,49451,UNIT,2018
201,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),25674,UNIT,2018
202,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,19495,UNIT,2018
203,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,15128,UNIT,2018
204,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,4276,UNIT,2018
205,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),1668062,UNIT,2019
206,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),377393,UNIT,2019
207,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),173852,UNIT,2019
208,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,465861,UNIT,2019
209,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),540129,UNIT,2019
210,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),605984,UNIT,2019
211,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,440531,UNIT,2019
212,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,312056,UNIT,2019
213,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,291184,UNIT,2019
214,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,345121,UNIT,2019
215,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),490364,UNIT,2019
216,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),243443,UNIT,2019
